时间,开盘价,最高价,最低价,收盘价,成交量
1735689600000,93576,93702.15,93489.03,93656.18,175.85673
1735690500000,93656.19,93898.05,93614.95,93761.9,95.41749
1735691400000,93761.9,93963.67,93761.89,93885.01,94.36416
1735692300000,93885,94509.42,93864.44,94401.14,390.35172
1735693200000,94401.13,94408.72,93880,94153.05,284.57018
1735694100000,94153.04,94153.05,93819.6,93825.86,102.66232
1735695000000,93825.86,93989.37,93825.86,93923.14,78.97889
1735695900000,93923.14,93945.25,93578.77,93607.74,120.32317
1735696800000,93607.74,93805.04,93594.56,93800,104.71689
1735697700000,93800,93805.16,93689.48,93742.52,48.21903
1735698600000,93742.51,93921.86,93742.51,93921.86,39.8339
1735699500000,93921.86,94105.12,93912,94098.91,84.01063
1735700400000,94098.9,94098.91,93959.89,93976.01,65.06529
1735701300000,93976.01,93976.01,93766.23,93830.89,47.42318
1735702200000,93830.9,93891.15,93800,93857.04,67.83649
1735703100000,93857.03,93867.35,93728.22,93838.04,40.66806
1735704000000,93838.04,93838.04,93689.96,93711.19,87.46863
1735704900000,93711.18,93771.99,93679.07,93738.09,53.53604
1735705800000,93738.09,93738.1,93616.82,93645.13,45.89524
1735706700000,93645.12,93670,93500,93553.91,92.56918
1735707600000,93553.91,93680,93547.4,93638.5,44.42431
1735708500000,93638.5,93933.33,93614.5,93891.74,96.81147
1735709400000,93891.74,93937.19,93799.25,93857.65,44.4742
1735710300000,93857.66,93862.11,93792.01,93792.02,23.46942
1735711200000,93792.02,93792.02,93603.21,93603.22,48.12812
1735712100000,93603.21,93701.39,93603.21,93654.5,46.53256
1735713000000,93654.5,93720.01,93568.38,93720,134.37648
1735713900000,93720.01,93757.58,93672.34,93757.58,43.2413
1735714800000,93757.57,93757.58,93664.08,93685.25,29.27357
1735715700000,93685.25,93786.04,93677.5,93786.03,43.36678
1735716600000,93786.03,93800,93727.27,93741.15,37.98335
1735717500000,93741.15,93767.76,93664.09,93684.1,87.31088
1735718400000,93684.11,93756.02,93677.44,93746.39,72.0457
1735719300000,93746.39,93746.4,93304,93416.41,245.3307
1735720200000,93416.41,93527.21,93400,93476.46,79.27209
1735721100000,93476.46,93547.83,93320,93428.46,85.06324
1735722000000,93428.47,93486.29,93217.93,93327.15,114.48117
1735722900000,93327.15,93327.15,92888,93141.91,317.30535
1735723800000,93141.91,93302.52,93001,93106.31,230.12665
1735724700000,93106.3,93446.48,93048.64,93413.06,136.58456
1735725600000,93413.07,93534.95,93357.67,93384.27,83.96199
1735726500000,93384.26,93536.75,93384.26,93410.25,54.91381
1735727400000,93410.25,93509.74,93284,93397.96,65.35825
1735728300000,93397.96,93416.64,93292.5,93326.23,61.31787
1735729200000,93326.24,93376.63,93200,93331.58,76.38624
1735730100000,93331.58,93485.88,93331.57,93485.88,83.55395
1735731000000,93485.88,93605.82,93402,93593.24,72.79136
1735731900000,93593.24,93705.08,93443.99,93444.64,88.9907
1735732800000,93444.65,93511.37,93407.07,93451.38,66.75439
1735733700000,93451.37,93972,93451.37,93888.31,267.9628
